date,Adj Close,Volume,EMA_5,EMA_10,MACD,RSI,Bollinger_High,Bollinger_Low,OBV,ADX,MFI,MOM,SAR,Interest Rate,Yield Spread,GDP,Unemployment Rate,Inflation Rate,news_sentiment
3/5/14,1873.810059,3392990000,1862.783384,1852.738493,15.42598173,65.31420818,1891.309187,1770.692827,1.39492E+11,19.08035102,78.66456917,2.463981331,1834.439941,0.08,2.37,17197.738,6.7,236.028,0.136363636
3/6/14,1877.030029,3360450000,1867.532266,1857.155136,16.49940461,66.13512153,1888.68987,1785.851146,1.42853E+11,19.7599531,78.73722413,2.024698573,1836.123545,0.08,2.37,17197.738,6.7,236.028,0.16
3/7/14,1878.040039,3564740000,1871.034857,1860.952391,17.23294863,66.4037149,1887.798121,1797.203893,1.46418E+11,20.08026883,71.7530099,2.275836028,1838.872529,0.08,2.42,17197.738,6.7,236.028,0
3/10/14,1877.170044,3021350000,1873.079919,1863.901055,17.5418744,65.91872743,1889.102787,1803.914229,1.43396E+11,20.07406574,65.41987837,1.599907926,1842.448322,0.08,2.42,17197.738,6.7,236.028,0
3/11/14,1867.630005,3392400000,1871.263281,1864.579046,16.82297411,60.68470692,1887.606771,1812.189249,1.40004E+11,20.32429358,65.68246701,1.219975385,1845.738052,0.08,2.4,17197.738,6.7,236.028,0
3/12/14,1868.199951,3270860000,1870.242171,1865.237392,16.11348413,60.88452907,1888.149105,1816.49191,1.43275E+11,19.73749204,58.97674421,1.24866768,1848.764604,0.08,2.36,17197.738,6.7,236.028,0
3/13/14,1846.339966,3670990000,1862.274769,1861.801497,13.63016997,50.32053835,1886.307453,1821.041559,1.39604E+11,18.39470191,51.84029196,-0.428739468,,0.08,2.32,17197.738,6.7,236.028,0.25
3/14/14,1841.130005,3285460000,1855.226515,1858.043044,11.11361448,48.17511453,1885.566696,1822.91232,1.36318E+11,17.30640324,44.45323268,-0.985234708,,0.08,2.29,17197.738,6.7,236.028,0
3/17/14,1858.829956,2860490000,1856.427662,1858.186119,10.42726523,55.1683037,1885.791206,1824.707805,1.39179E+11,16.53825523,50.95482423,0.709744964,,0.08,2.32,17197.738,6.7,236.028,0
3/18/14,1872.25,2930190000,1861.701774,1860.743188,10.84124279,59.61763947,1887.462111,1826.185899,1.42109E+11,16.52854102,50.18444601,-0.088586653,,0.08,2.32,17197.738,6.7,236.028,0
3/19/14,1860.77002,3289210000,1861.391189,1860.748066,10.12625534,54.62349198,1886.244513,1830.605499,1.3882E+11,15.86894408,42.96674125,-0.695910399,,0.08,2.31,17197.738,6.7,236.028,0
3/20/14,1872.01001,3327540000,1864.930796,1862.795692,10.34731847,58.30620192,1887.07205,1833.00096,1.42147E+11,15.25646121,42.26475096,-0.267444817,,0.08,2.34,17197.738,6.7,236.028,0
3/21/14,1866.52002,5270710000,1865.460537,1863.472843,9.964649979,55.91901579,1886.389603,1836.710409,1.36877E+11,15.34916147,51.52890066,-0.613406492,1839.569946,0.08,2.3,17197.738,6.7,236.028,0
3/24/14,1857.439941,3409000000,1862.787005,1862.375952,8.826944502,52.11830755,1886.136171,1837.946837,1.33468E+11,14.40425734,44.08405673,-1.051055689,1840.457947,0.08,2.27,17197.738,6.7,236.028,0.4
3/25/14,1865.619995,3200560000,1863.731335,1862.965778,8.487527748,55.08035865,1885.906033,1840.226975,1.36668E+11,13.52684636,43.8394675,-0.107623553,1841.328187,0.08,2.28,17197.738,6.7,236.028,0
3/26/14,1852.560059,3480850000,1860.007576,1861.073829,7.08306068,49.78504651,1885.323607,1841.549403,1.33187E+11,12.9954695,36.70228696,-0.83716374,1842.181023,0.08,2.26,17197.738,6.7,236.028,0
3/27/14,1849.040039,3733430000,1856.351731,1858.885867,5.621176825,48.43350498,1885.612581,1840.735429,1.29454E+11,12.399422,36.6161662,0.146239224,,0.08,2.24,17197.738,6.7,236.028,-0.0625
3/28/14,1857.619995,2955520000,1856.774485,1858.655709,5.096208169,51.86376669,1885.595879,1840.569136,1.32409E+11,11.95599585,42.82411774,0.895645076,,0.08,2.28,17197.738,6.7,236.028,0
3/31/14,1872.339966,3274300000,1861.962979,1861.143755,5.801074171,57.13237195,1885.783291,1843.042722,1.35684E+11,12.07541833,49.7912146,0.72680181,,0.08,2.29,17197.738,6.7,236.028,0
